condition,condition2,policy1,policy2,policy3,policy4,policy5,policy6,rehab1,rehab2,rehab3,rehab4,age,gender,ethnicity,education,politicalid,attentive
1,1,4,4,5,5,5,3,5,5,5,4,18,1,6,5,4,0
1,1,3,4,4,4,4,3,4,2,4,3,39,1,1,3,3,1
1,1,4,4,4,5,5,4,4,2,4,5,63,1,1,4,4,1
1,1,5,4,3,4,3,4,5,1,4,2,21,1,3,4,5,1
1,1,4,2,5,4,2,4,3,2,4,4,34,2,3,4,3,1
1,1,3,4,4,4,4,4,4,4,4,4,42,1,1,4,2,0
1,1,4,2,4,4,5,4,4,1,5,5,44,2,1,4,4,1
1,1,3,5,5,5,5,5,1,1,1,5,23,1,2,4,4,0
1,1,4,3,4,3,4,4,3,3,4,4,33,1,1,5,4,1
1,1,5,4,4,5,5,3,4,2,4,3,44,1,3,4,3,1
1,1,1,3,1,2,1,1,5,1,5,3,51,2,2,4,2,1
1,1,2,2,2,3,1,3,5,1,5,3,37,1,1,5,2,1
1,1,5,5,5,5,5,5,5,1,5,5,39,1,1,5,7,1
1,1,4,5,5,4,5,5,3,2,4,4,35,1,1,3,5,1
1,1,3,4,3,3,5,4,3,2,5,3,37,1,1,4,3,1
1,1,1,4,3,4,3,4,2,1,5,5,51,2,1,4,2,1
1,1,4,2,2,4,5,3,4,1,5,3,39,1,1,4,4,1
1,1,3,4,4,4,5,4,5,1,5,3,22,2,6,4,3,1
1,1,2,4,4,4,4,4,3,2,4,4,47,1,3,4,4,1
1,1,3,5,5,4,5,4,3,2,4,5,31,1,1,4,,1
1,1,1,2,2,3,4,2,4,1,5,2,38,1,1,5,1,1
1,1,4,4,4,4,4,4,5,1,5,3,48,1,1,2,4,1
1,1,1,2,1,2,1,1,5,1,5,2,29,1,1,4,2,1
1,1,5,5,5,5,5,5,4,2,5,3,41,2,1,4,5,1
1,1,3,2,3,4,4,2,4,1,5,3,40,2,1,3,4,1
1,1,4,4,4,4,4,3,5,1,5,2,,2,1,5,2,1
1,1,4,4,4,4,4,4,4,2,5,4,42,2,1,5,4,1
1,1,2,2,2,4,1,4,4,1,2,4,73,1,1,3,4,1
1,1,4,5,5,5,5,5,3,2,5,4,27,1,6,5,4,1
1,1,1,2,3,4,5,4,5,1,5,2,36,1,1,5,3,1
1,1,4,5,4,3,5,5,3,2,4,5,32,2,1,5,4,1
1,1,4,5,4,4,5,4,3,1,4,2,64,1,1,1,4,1
1,1,3,4,2,3,4,3,4,1,5,4,22,2,1,5,2,1
1,1,2,2,1,4,5,2,4,1,5,3,43,1,1,5,3,1
1,1,1,2,1,4,4,2,5,1,5,2,48,1,1,4,2,1
1,1,3,4,3,4,4,4,3,1,4,4,42,2,1,4,3,1
1,1,2,4,4,2,2,4,4,2,4,3,26,2,1,4,3,1
1,1,4,2,4,3,3,4,5,1,5,2,32,1,3,1,5,1
1,1,2,5,3,4,5,1,5,1,3,2,49,1,3,4,1,1
1,1,4,5,5,5,5,5,4,2,4,4,63,1,1,3,5,1
1,1,3,4,4,4,4,3,4,1,5,3,70,1,1,4,4,1
1,1,1,1,1,2,4,3,5,1,5,2,33,1,1,4,3,1
1,1,3,4,4,3,4,4,3,3,3,3,51,2,3,5,4,1
1,1,4,3,3,5,5,4,4,2,4,4,51,2,3,4,5,1
1,1,4,4,3,4,4,4,4,2,4,4,57,2,1,4,5,1
1,1,4,2,4,5,5,5,4,2,5,3,36,1,2,1,4,1
1,1,2,4,4,5,5,5,4,1,5,3,36,2,1,5,2,1
1,1,5,5,5,5,5,5,4,3,4,5,31,2,3,4,,1
1,1,4,4,3,5,3,2,5,1,5,2,30,2,1,4,3,1
1,1,2,1,2,3,2,2,4,1,5,4,44,2,5,1,3,1
1,1,1,1,1,1,1,1,5,1,5,3,25,2,2,4,2,1
1,1,1,1,1,4,5,3,1,1,5,4,26,1,1,5,3,1
1,1,2,3,3,3,4,4,4,2,4,4,40,1,1,4,3,1
1,1,1,2,2,2,2,1,4,1,5,2,57,1,1,4,3,1
1,1,5,4,3,2,4,4,4,2,4,3,24,1,3,4,5,1
1,1,4,4,5,4,4,4,4,2,4,4,27,2,1,5,3,1
1,1,1,1,2,2,1,1,5,1,5,2,35,2,1,4,2,1
1,1,4,4,4,4,4,4,4,1,5,3,40,2,1,4,4,1
1,1,2,4,4,3,5,5,4,1,5,3,34,1,1,3,3,1
1,1,4,2,4,4,4,3,4,2,4,3,23,2,3,2,4,1
1,1,3,2,4,2,4,5,5,1,5,2,23,2,1,4,2,1
1,1,3,2,1,2,2,3,4,1,5,2,,2,1,5,5,1
1,1,2,1,1,2,4,2,5,2,4,2,41,2,1,,2,1
1,1,1,4,3,2,5,2,5,1,5,4,27,1,1,4,4,1
1,1,4,1,3,2,5,3,5,1,5,4,35,1,4,2,5,1
1,1,2,2,1,4,1,4,5,1,5,2,38,1,1,4,2,1
1,1,2,5,4,5,2,5,4,1,5,4,23,2,3,4,2,1
